x,y,id
15.0,30.0,landscape_take_th_impression_image_fancy_1544
59.0,63.0,landscape_tempest_wind_1546
79.0,43.0,still_life_wound_steel_1547
42.0,60.0,still_life_livery_wear_9739
57.0,46.0,still_life_cell_1561
73.0,32.0,landscape_pedant_chains_clog_9757
52.0,65.0,seascape_ship_tost_tide_wind_ship_tide_1566
78.0,28.0,still_life_tyrant_vice_chains_captive_tyr_1565
60.0,67.0,landscape_flights_imagination_9764
48.0,18.0,still_life_conflicts_dictates_1572
51.0,58.0,landscape_clouds_diamonds_1574
19.0,39.0,landscape_grand_instruments_capacity_pro_1573
46.0,69.0,still_life_bottle_vessel_spirits_bottle_b_1577
56.0,26.0,landscape_plenteous_ease_predominant_pas_1585
65.0,63.0,landscape_fires_blaze_without_carry_deva_9782
73.0,39.0,portrait_heart_iron_1598
75.0,61.0,landscape_fire_blaze_kindled_9792
52.0,39.0,landscape_refin_drossie_earth_sordid_1600
42.0,37.0,landscape_anxious_crowds_anxious_invade_1605
60.0,36.0,landscape_horror_plague_poisons_1613
35.0,88.0,landscape_sterling_currency_language_coi_9806
74.0,26.0,portrait_war_1620
31.0,36.0,landscape_rivulet_9817
69.0,22.0,portrait_conquer_heart_1631
22.0,52.0,landscape_steht_seele_und_der_mirror_9824
69.0,58.0,landscape_pure_flame_planted_9825
44.0,56.0,landscape_kind_vulture_like_1638
68.0,64.0,landscape_guard_walls_ice_flames_kindled_1641
58.0,46.0,landscape_lab_ring_cell_far_9841
21.0,36.0,landscape_definitive_lasting_variable_9849
39.0,55.0,landscape_theatre_spacious_voluptuous_sp_9857
31.0,51.0,still_life_stamp_standard_rest_richest_tr_1666
8.0,43.0,still_life_write_engraven_9862
13.0,39.0,still_life_read_eyes_saw_things_write_cha_1682
27.0,30.0,landscape_characters_clearest_impression_1683
58.0,42.0,still_life_scene_perpetually_horror_9879
48.0,44.0,still_life_phantasms_9880
54.0,43.0,landscape_pour_forth_9881
47.0,40.0,portrait_darkned_worn_1690
52.0,36.0,still_life_every_secret_journal_9894
41.0,44.0,landscape_penetrated_deep_impression_9896
33.0,52.0,landscape_store_house_store_house_1709
21.0,33.0,landscape_repeated_impressions_either_1712
15.0,40.0,landscape_tombs_inscriptions_effaced_bra_1713
50.0,32.0,landscape_heart_overflows_presence_fond__9909
58.0,37.0,portrait_seal_first_imprest_9913
56.0,17.0,portrait_tyrant_9916
69.0,64.0,still_life_candle_extinguish_1725
69.0,33.0,portrait_enslaved_chains_9918
22.0,34.0,landscape_retains_impressions_congenial__9923
33.0,25.0,landscape_theatre_amphitheatre_9926
23.0,40.0,still_life_wholly_stranger_1737
48.0,20.0,landscape_prison_doors_lodging_chains_kn_1743
40.0,54.0,landscape_open_locks_asunder_fetters_hol_9938
38.0,61.0,portrait_deepest_stains_9951
20.0,47.0,portrait_perception_face_reflected_seve_1762
60.0,32.0,still_life_groundless_jealousy_poison_9955
28.0,38.0,landscape_attend_motions_observe_course__1764
60.0,57.0,landscape_discovery_worlds_new_modes_9979
80.0,43.0,still_life_steel_enough_9989
35.0,40.0,still_life_sickness_1798
83.0,51.0,still_life_pull_gold_9992
23.0,59.0,landscape_windows_1803
58.0,10.0,landscape_thy_throne_ever_9998
36.0,39.0,portrait_fetter_thoughts_fly_10005
51.0,50.0,landscape_dance_1815
24.0,59.0,portrait_making_door_open_let_us_10008
39.0,39.0,landscape_crowd_allow_come_crowded_atoms_1816
76.0,65.0,still_life_marksman_shoot_diligence_arrow_10015
52.0,73.0,landscape_horseback_hold_rein_walk_foot__10016
83.0,40.0,landscape_dissipation_steels_bestow_10018
55.0,32.0,landscape_preying_passion_motion_scarce__1833
60.0,42.0,still_life_wounded_body_mind_10037
41.0,45.0,portrait_matter_pregnant_brain_labours__1846
56.0,45.0,still_life_rambling_part_1851
39.0,63.0,still_life_handful_makes_luggage_1852
48.0,54.0,landscape_family_sheep_gentle_lamb_creat_1853
37.0,51.0,landscape_mental_stores_shall_unfading_b_10046
48.0,55.0,landscape_mind_body_rambling_alike_neith_1857
37.0,56.0,landscape_old_furniture_apartments_cells_10052
30.0,46.0,still_life_naked_cloathed_sensible_10054
13.0,52.0,still_life_skilful_artist_goes_work_upon__10057
82.0,41.0,still_life_bosom_steel_10065
